date,channel,spend,reach,impressions
2022-01-17,Search,340.17,62317,145105
2022-01-18,TV,2233.02,167871,353247
2022-01-18,Digital,1062.71,192006,907179
2022-01-18,Social,543.32,132300,346568
2022-01-18,Search,388.35,76101,169396
2022-01-19,TV,1908.91,139717,258821
2022-01-19,Digital,1011.92,210035,799160
2022-01-19,Social,719.16,176988,396287
2022-01-19,Search,354.41,57580,145938
2022-01-20,TV,2453.45,180045,337861
2022-01-20,Digital,1035.52,221217,910120
2022-01-20,Social,601.15,159537,363692
2022-01-20,Search,413.08,68414,169002
2022-01-21,TV,2604.28,219694,388254
2022-01-21,Digital,1002.02,201317,723864
2022-01-21,Social,611.42,150711,370390
2022-01-21,Search,276.19,47668,102540
2022-01-22,TV,1365.85,111930,190917
2022-01-22,Digital,807.82,165019,683081
2022-01-22,Social,366.78,92758,220948
2022-01-22,Search,271.76,50240,100407
2022-01-23,TV,1309.43,107705,207476
2022-01-23,Digital,808.10,147806,585793
2022-01-23,Social,472.84,114971,303216
2022-01-23,Search,238.82,43583,103108
2022-01-24,TV,2654.46,196493,433467
2022-01-24,Digital,1139.20,211102,980835
2022-01-24,Social,597.49,159806,367890
2022-01-24,Search,316.92,57927,135160
2022-01-25,TV,2235.56,195934,338908
2022-01-25,Digital,1133.07,204217,986876
2022-01-25,Social,658.09,152650,361120
2022-01-25,Search,337.00,60187,130369
2022-01-26,TV,1885.67,149663,280412
2022-01-26,Digital,1490.31,310346,1233017
2022-01-26,Social,638.44,162871,404829
2022-01-26,Search,404.37,66914,167345
2022-01-27,TV,2427.75,185687,372069
2022-01-27,Digital,925.95,188604,805938
2022-01-27,Social,539.60,125212,352448
2022-01-27,Search,382.60,66585,155723
2022-01-28,TV,1638.55,141089,266104
2022-01-28,Digital,1202.28,229121,1006335
2022-01-28,Social,585.69,155890,340634
2022-01-28,Search,398.38,68748,158907
2022-01-29,TV,1800.47,152089,249892
2022-01-29,Digital,748.28,159979,555705
2022-01-29,Social,486.15,129572,303961
2022-01-29,Search,247.81,40306,103770
2022-01-30,TV,1923.40,166961,311502
2022-01-30,Digital,893.45,175473,779176
2022-01-30,Social,405.07,93896,259940
2022-01-30,Search,288.64,51643,108012
2022-01-31,TV,2437.04,188260,381722
2022-01-31,Digital,1289.65,272764,929594
2022-01-31,Social,681.88,185651,435050
2022-01-31,Search,404.86,68251,168060
2022-02-01,TV,3093.30,229460,456541
2022-02-01,Digital,1410.51,275866,1226344
2022-02-01,Social,1044.46,254489,624351
2022-02-01,Search,463.02,75991,179705
2022-02-02,TV,2487.06,216823,342577
2022-02-02,Digital,1442.53,292795,1263589
2022-02-02,Social,656.66,176835,363200
2022-02-02,Search,430.15,82324,157818
2022-02-03,TV,3243.05,279167,510184
2022-02-03,Digital,1673.05,316368,1423282
2022-02-03,Social,855.86,216938,482662
2022-02-03,Search,502.58,82011,183777
2022-02-04,TV,2793.79,201810,457370
2022-02-04,Digital,1671.14,317945,1390562
2022-02-04,Social,898.34,224773,569752
2022-02-04,Search,525.31,95724,202863
2022-02-05,TV,2237.00,166105,340078
2022-02-05,Digital,1524.98,303064,1242703
2022-02-05,Social,470.34,115517,261404
2022-02-05,Search,348.70,59716,152216
2022-02-06,TV,2451.34,205233,401480
2022-02-06,Digital,1020.86,216137,819085
2022-02-06,Social,712.80,189061,454275
2022-02-06,Search,455.36,75123,196778
2022-02-07,TV,3140.57,239076,428254
2022-02-07,Digital,1494.39,290019,1210213
2022-02-07,Social,776.09,181729,462701
2022-02-07,Search,492.14,84984,215392
2022-02-08,TV,3330.32,263113,501947
2022-02-08,Digital,1209.39,260323,917576
2022-02-08,Social,895.28,225159,527028
2022-02-08,Search,495.37,85117,199956
2022-02-09,TV,3658.22,274732,553996
2022-02-09,Digital,1645.78,361395,1447355
2022-02-09,Social,1072.28,268250,649435
2022-02-09,Search,412.38,81170,158943
2022-02-10,TV,3318.84,281320,510831
2022-02-10,Digital,2115.80,452764,1660778
2022-02-10,Social,870.98,210514,516891
2022-02-10,Search,547.19,97397,209100
2022-02-11,TV,3597.98,294739,523769
2022-02-11,Digital,1654.94,321999,1296692
2022-02-11,Social,867.51,230959,530299
2022-02-11,Search,576.89,104689,223064
2022-02-12,TV,2433.08,194389,379549
2022-02-12,Digital,1122.21,234795,927592
2022-02-12,Social,480.26,110454,264145
2022-02-12,Search,328.11,54337,138566
2022-02-13,TV,2567.42,225369,348072
2022-02-13,Digital,1179.15,227743,904634
2022-02-13,Social,781.25,177890,487753
2022-02-13,Search,370.39,62246,134045
2022-02-14,TV,3078.12,233139,491043
2022-02-14,Digital,1361.90,295922,1132801
2022-02-14,Social,914.58,205809,502947
2022-02-14,Search,553.41,92346,218607
2022-02-15,TV,2842.91,230429,458156
2022-02-15,Digital,1975.78,360344,1472479
2022-02-15,Social,644.23,174553,353987
2022-02-15,Search,600.54,99687,226504
2022-02-16,TV,3115.50,268107,510936
2022-02-16,Digital,1438.02,296501,1193302
2022-02-16,Social,835.31,213740,454273
2022-02-16,Search,641.09,110377,279817
2022-02-17,TV,2364.49,196883,379111
2022-02-17,Digital,1606.41,318949,1298172
2022-02-17,Social,1027.03,261372,599721
2022-02-17,Search,476.45,77666,180313
2022-02-18,TV,3175.31,229116,466072
2022-02-18,Digital,1499.30,327290,1228714
2022-02-18,Social,1061.15,239406,660887
2022-02-18,Search,503.29,92023,181306
2022-02-19,TV,1924.18,165580,284493
2022-02-19,Digital,1558.02,312007,1295952
2022-02-19,Social,647.31,163211,398239
2022-02-19,Search,381.12,74224,166333
2022-02-20,TV,2747.52,224873,444430
2022-02-20,Digital,1199.79,262025,932794
2022-02-20,Social,649.65,158313,395019
2022-02-20,Search,358.10,59900,139265
2022-02-21,TV,3326.18,290774,505851
2022-02-21,Digital,1623.65,329769,1336359
2022-02-21,Social,739.27,200119,472324
2022-02-21,Search,579.59,95120,234004
2022-02-22,TV,3064.92,222836,477708
2022-02-22,Digital,1322.46,250824,1053520
2022-02-22,Social,826.48,215572,541152
2022-02-22,Search,648.59,120534,263083
2022-02-23,TV,3024.35,264360,442308
2022-02-23,Digital,1893.28,357831,1364003
2022-02-23,Social,723.73,193526,404462
2022-02-23,Search,533.93,92803,201526
2022-02-24,TV,2576.58,188518,364265
2022-02-24,Digital,1256.96,245333,956318
2022-02-24,Social,912.42,210119,551528
2022-02-24,Search,499.50,84224,182264
2022-02-25,TV,3624.82,301727,505602
2022-02-25,Digital,2121.61,448870,1632012
2022-02-25,Social,877.27,229722,477088
2022-02-25,Search,505.88,82677,218337
2022-02-26,TV,1940.29,150757,262265
2022-02-26,Digital,1339.62,282086,1080486
2022-02-26,Social,744.84,176637,415751
2022-02-26,Search,366.18,71223,134414
2022-02-27,TV,2222.01,164822,361799
2022-02-27,Digital,1290.96,246913,1069603
2022-02-27,Social,857.80,212586,540850
2022-02-27,Search,367.58,72728,148693
2022-02-28,TV,3698.33,317003,594769
2022-02-28,Digital,1560.20,286310,1271479
2022-02-28,Social,736.76,171940,401954
2022-02-28,Search,483.60,94939,183392
2022-03-01,TV,2710.09,229700,437794
2022-03-01,Digital,1156.04,214628,900792
2022-03-01,Social,797.20,197784,474818
2022-03-01,Search,525.82,85650,214361
2022-03-02,TV,3697.89,271622,537405
2022-03-02,Digital,1591.93,296870,1327975
2022-03-02,Social,771.75,190293,505416
2022-03-02,Search,514.31,85150,217871
2022-03-03,TV,3136.12,243491,509027
2022-03-03,Digital,1446.06,305735,1161995
2022-03-03,Social,1020.20,264557,620143
2022-03-03,Search,461.79,82019,194792
2022-03-04,TV,2852.46,222328,432168
2022-03-04,Digital,1587.42,290913,1292423
2022-03-04,Social,766.76,198983,457335
2022-03-04,Search,652.36,122215,239765
2022-03-05,TV,2321.30,169003,382486
2022-03-05,Digital,1193.22,230991,904237
2022-03-05,Social,474.45,121077,268499
2022-03-05,Search,380.03,69054,148223
2022-03-06,TV,2830.24,230127,458432
2022-03-06,Digital,1135.83,240965,867978
2022-03-06,Social,727.84,165706,401413
2022-03-06,Search,391.55,70675,146225
2022-03-07,TV,3189.97,232432,483394
2022-03-07,Digital,1449.29,296527,1167933
2022-03-07,Social,677.09,160085,419454
2022-03-07,Search,422.81,70862,160735
2022-03-08,TV,3088.71,236163,436566
2022-03-08,Digital,1863.55,345254,1565173
2022-03-08,Social,788.26,193968,515848
2022-03-08,Search,524.58,91778,214130
2022-03-09,TV,3206.50,237359,493221
2022-03-09,Digital,1624.20,293203,1178810
2022-03-09,Social,859.78,233735,536076
2022-03-09,Search,555.43,94358,205782
2022-03-10,TV,3068.70,262704,425984
2022-03-10,Digital,1317.81,283371,1000206
2022-03-10,Social,841.73,222083,467729
2022-03-10,Search,508.04,84013,196528
2022-03-11,TV,3534.31,265612,549462
2022-03-11,Digital,1645.63,350510,1275539
2022-03-11,Social,873.96,232829,519855
2022-03-11,Search,475.23,83074,205415
2022-03-12,TV,2799.22,207456,383859
2022-03-12,Digital,1341.61,242719,1000711
2022-03-12,Social,565.11,152112,351664
2022-03-12,Search,368.09,69467,146344
2022-03-13,TV,2068.09,177379,289064
2022-03-13,Digital,1386.38,291089,1115958
2022-03-13,Social,771.91,183855,494837
2022-03-13,Search,477.08,90029,203091
2022-03-14,TV,3618.18,269899,550052
2022-03-14,Digital,1689.67,358307,1271446
2022-03-14,Social,957.97,239543,559477
2022-03-14,Search,593.43,108038,231131
2022-03-15,TV,3684.49,318777,548308
2022-03-15,Digital,1208.07,253846,1042018
2022-03-15,Social,702.89,190829,386655
2022-03-15,Search,614.02,110792,240387
2022-03-16,TV,2925.09,224035,461848
2022-03-16,Digital,1748.90,332622,1442781
2022-03-16,Social,723.69,198279,450267
2022-03-16,Search,561.93,103263,210770
2022-03-17,TV,3266.47,235631,504397
2022-03-17,Digital,1839.14,358774,1457662
2022-03-17,Social,903.40,209349,583460
2022-03-17,Search,566.55,94177,217353
2022-03-18,TV,3390.06,266374,471637
2022-03-18,Digital,1727.37,368188,1338648
2022-03-18,Social,739.24,176182,412614
2022-03-18,Search,429.94,80163,184021
2022-03-19,TV,1834.81,147777,274835
2022-03-19,Digital,872.16,191397,760571
2022-03-19,Social,530.07,143923,295623
2022-03-19,Search,337.76,57636,130001
2022-03-20,TV,2495.90,203696,388064
2022-03-20,Digital,1145.81,218330,861833
2022-03-20,Social,609.93,141319,400040
2022-03-20,Search,443.13,87569,193107
2022-03-21,TV,3493.47,271967,477655
2022-03-21,Digital,1570.07,315999,1186948
2022-03-21,Social,844.87,224533,538239
2022-03-21,Search,585.16,99869,214339
2022-03-22,TV,3660.86,294567,538768
2022-03-22,Digital,1194.40,232852,997324
2022-03-22,Social,752.94,196808,489360
2022-03-22,Search,597.04,108836,227761
2022-03-23,TV,2935.08,238884,475035
2022-03-23,Digital,1825.38,386796,1392618
2022-03-23,Social,888.94,228267,581046
2022-03-23,Search,361.73,63294,137166
2022-03-24,TV,2819.23,241652,413836
2022-03-24,Digital,1792.16,389342,1460865
2022-03-24,Social,524.27,119627,296231
2022-03-24,Search,528.33,90922,193542
2022-03-25,TV,2937.49,236667,476601
2022-03-25,Digital,1787.71,362740,1551820
2022-03-25,Social,1113.97,267706,613245
2022-03-25,Search,463.18,80732,194921
2022-03-26,TV,2166.87,188602,329952
2022-03-26,Digital,1124.81,220331,961802
2022-03-26,Social,727.95,172506,432680
2022-03-26,Search,513.77,101372,190576
2022-03-27,TV,2041.13,179204,291822
2022-03-27,Digital,1430.39,279486,1243433
2022-03-27,Social,572.85,156207,354069
2022-03-27,Search,612.05,112009,232472
2022-03-28,TV,4103.76,349087,591064
2022-03-28,Digital,1253.97,241601,964843
2022-03-28,Social,843.06,213571,477510
2022-03-28,Search,505.72,95951,191202
2022-03-29,TV,3896.37,281665,588448
2022-03-29,Digital,1509.31,313107,1116162
2022-03-29,Social,1072.51,290635,597440
2022-03-29,Search,477.85,79481,186109
2022-03-30,TV,2993.47,260193,429339
2022-03-30,Digital,1565.31,291549,1217874
2022-03-30,Social,953.41,257242,564375
2022-03-30,Search,520.09,101215,220416
2022-03-31,TV,3138.40,258628,487586
2022-03-31,Digital,2058.68,374565,1646030
2022-03-31,Social,804.37,207048,513108
2022-03-31,Search,495.19,80671,199224
2022-04-01,TV,3478.06,296072,492760
2022-04-01,Digital,1129.57,223414,895152
2022-04-01,Social,737.84,177962,415103
2022-04-01,Search,494.88,88508,182568
2022-04-02,TV,2881.18,209595,454926
2022-04-02,Digital,1078.01,224237,916790
2022-04-02,Social,737.43,168239,480291
2022-04-02,Search,275.68,48308,113561
2022-04-03,TV,2374.65,171936,331404
2022-04-03,Digital,1170.93,250876,876452
2022-04-03,Social,707.58,170518,438348
2022-04-03,Search,443.64,86968,163966
2022-04-04,TV,3597.43,314712,560368
2022-04-04,Digital,1632.14,301843,1414996
2022-04-04,Social,865.42,221874,476347
2022-04-04,Search,435.09,86044,188250
2022-04-05,TV,3299.02,270383,480112
2022-04-05,Digital,1749.88,325769,1477054
2022-04-05,Social,944.30,240839,531051
2022-04-05,Search,647.08,121745,277259
2022-04-06,TV,3291.74,274880,539814
2022-04-06,Digital,1383.85,268590,1194149
2022-04-06,Social,805.02,190573,451033
2022-04-06,Search,486.40,90003,205101
2022-04-07,TV,2502.50,187791,377042
2022-04-07,Digital,1730.34,353538,1246240
2022-04-07,Social,758.07,196850,490717
2022-04-07,Search,601.59,115467,254201
2022-04-08,TV,3251.87,256342,488490
2022-04-08,Digital,1769.55,387318,1407015
2022-04-08,Social,887.11,242895,483888
2022-04-08,Search,546.98,92302,223481
2022-04-09,TV,2481.60,198752,346808
2022-04-09,Digital,1128.75,241713,881535
2022-04-09,Social,742.37,172823,409769
2022-04-09,Search,447.48,82878,195177
2022-04-10,TV,2695.57,235603,418711
2022-04-10,Digital,1203.24,247007,901544
2022-04-10,Social,813.42,210116,521419
2022-04-10,Search,470.79,83636,196129
2022-04-11,TV,3128.18,264236,467206
2022-04-11,Digital,2074.55,400331,1743869
2022-04-11,Social,913.24,249765,516896
2022-04-11,Search,573.71,107210,213548
2022-04-12,TV,4231.33,339072,651803
2022-04-12,Digital,1441.36,302937,1105126
2022-04-12,Social,971.65,266737,624740
2022-04-12,Search,532.20,97062,222134
2022-04-13,TV,2829.94,242705,397207
2022-04-13,Digital,1286.53,280893,1009675
2022-04-13,Social,683.66,174947,450648
2022-04-13,Search,637.26,108078,262862
2022-04-14,TV,3491.92,301538,554204
2022-04-14,Digital,1496.15,297960,1268430
2022-04-14,Social,1022.95,257353,585729
2022-04-14,Search,580.74,108372,231912
2022-04-15,TV,3482.06,277760,503009
2022-04-15,Digital,1709.05,366200,1490232
2022-04-15,Social,879.94,212239,476598
2022-04-15,Search,418.39,77719,157974
2022-04-16,TV,2161.83,157635,342729
2022-04-16,Digital,1342.56,277317,1015884
2022-04-16,Social,702.97,171009,384938
2022-04-16,Search,345.81,65116,146369
2022-04-17,TV,2748.78,222922,436996
2022-04-17,Digital,1265.22,275148,1044501
2022-04-17,Social,581.07,151669,318799
2022-04-17,Search,454.32,82861,196932
2022-04-18,TV,2925.94,211459,476929
2022-04-18,Digital,1814.75,333285,1515943
2022-04-18,Social,780.59,188161,472765
2022-04-18,Search,503.74,88093,188796
2022-04-19,TV,3189.28,236623,454818
2022-04-19,Digital,1603.49,316502,1195123
2022-04-19,Social,1032.81,266052,569625
2022-04-19,Search,544.59,102514,199964
2022-04-20,TV,2801.29,227311,441362
2022-04-20,Digital,2137.35,421484,1862616
2022-04-20,Social,724.89,186559,426754
2022-04-20,Search,590.46,107694,237281
2022-04-21,TV,3267.66,260918,488567
2022-04-21,Digital,1743.90,319476,1423567
2022-04-21,Social,863.63,222471,536306
2022-04-21,Search,492.03,80210,214884
2022-04-22,TV,2789.82,224737,416393
2022-04-22,Digital,1019.56,205734,791570
2022-04-22,Social,1017.18,276707,632878
2022-04-22,Search,376.12,73120,156416
2022-04-23,TV,2377.80,174690,375927
2022-04-23,Digital,1306.22,252299,979847
2022-04-23,Social,791.38,209148,487834
2022-04-23,Search,381.11,64232,141001
2022-04-24,TV,2622.24,191707,420253
2022-04-24,Digital,1248.19,263346,995810
2022-04-24,Social,429.06,108616,255173
2022-04-24,Search,541.02,105595,215537
2022-04-25,TV,3202.11,252114,486201
2022-04-25,Digital,1592.51,311855,1225391
2022-04-25,Social,785.88,192575,478352
2022-04-25,Search,460.74,84477,199900
2022-04-26,TV,3364.05,286144,493068
2022-04-26,Digital,1535.35,297708,1275111
2022-04-26,Social,1103.38,250083,649677
2022-04-26,Search,568.09,99250,236282
2022-04-27,TV,3077.83,258002,505539
2022-04-27,Digital,1616.80,327567,1323568
2022-04-27,Social,990.45,228295,610316
2022-04-27,Search,514.80,95445,190985
2022-04-28,TV,3095.50,233072,482407
2022-04-28,Digital,1443.56,294114,1205434
2022-04-28,Social,907.05,211411,507341
2022-04-28,Search,602.10,106503,226695
2022-04-29,TV,2772.07,237437,425298
2022-04-29,Digital,2282.82,494564,1870363
2022-04-29,Social,700.73,169414,411477
2022-04-29,Search,496.85,96992,195319
2022-04-30,TV,2162.72,167149,308948
2022-04-30,Digital,1284.69,277550,1114768
2022-04-30,Social,649.81,154569,356586
2022-04-30,Search,355.28,69023,145294
2022-05-01,TV,1779.56,144901,280439
2022-05-01,Digital,1480.07,280766,1232765
2022-05-01,Social,701.61,173679,397930
2022-05-01,Search,369.43,71563,158916
2022-05-02,TV,3160.46,261737,488990
2022-05-02,Digital,1898.83,384425,1411543
2022-05-02,Social,965.83,237600,591718
2022-05-02,Search,556.39,99690,241927
2022-05-03,TV,3926.42,316198,620830
2022-05-03,Digital,1579.70,317355,1354283
2022-05-03,Social,844.56,194400,456868
2022-05-03,Search,595.65,115670,241643
2022-05-04,TV,3721.22,274783,555809
2022-05-04,Digital,1874.03,340575,1447298
2022-05-04,Social,981.90,230389,604494
2022-05-04,Search,477.95,90923,186230
2022-05-05,TV,2582.67,221454,358397
2022-05-05,Digital,1661.23,315263,1207488
2022-05-05,Social,832.71,200033,542484
2022-05-05,Search,619.70,103701,253379
2022-05-06,TV,2393.82,177771,376113
2022-05-06,Digital,1424.55,276691,1056755
2022-05-06,Social,1013.97,251539,651999
2022-05-06,Search,621.89,120096,250187
2022-05-07,TV,2251.25,183066,346332
2022-05-07,Digital,1157.35,247190,1011769
2022-05-07,Social,555.33,147332,361363
2022-05-07,Search,385.98,70997,168114
2022-05-08,TV,2424.93,186170,346234
2022-05-08,Digital,1397.83,269906,1093187
2022-05-08,Social,713.05,179761,416791
2022-05-08,Search,430.23,83405,165093
2022-05-09,TV,3582.30,266956,555694
2022-05-09,Digital,2021.63,374868,1733092
2022-05-09,Social,905.59,212048,533201
2022-05-09,Search,619.45,114980,223929
2022-05-10,TV,3275.12,266172,491703
2022-05-10,Digital,1870.07,388461,1586116
2022-05-10,Social,667.64,177966,363143
2022-05-10,Search,626.47,119337,275072
2022-05-11,TV,2773.75,239526,421810
2022-05-11,Digital,1299.07,248413,1091900
2022-05-11,Social,929.32,246488,511832
2022-05-11,Search,524.27,97439,209175
2022-05-12,TV,3351.66,255450,552375
2022-05-12,Digital,1551.84,298083,1326255
2022-05-12,Social,944.21,249929,604450
2022-05-12,Search,556.88,109204,207753
2022-05-13,TV,3480.11,266177,510620
2022-05-13,Digital,1304.91,244339,1096455
2022-05-13,Social,830.65,218408,468381
2022-05-13,Search,402.58,67152,176942
2022-05-14,TV,2260.06,167653,314224
2022-05-14,Digital,1131.69,221869,994350
2022-05-14,Social,696.94,164815,394699
2022-05-14,Search,531.31,90923,211181
2022-05-15,TV,2966.14,245374,438494
2022-05-15,Digital,1342.46,266145,1166936
2022-05-15,Social,846.44,196458,505668
2022-05-15,Search,416.75,76665,175066
2022-05-16,TV,2807.19,204663,402382
2022-05-16,Digital,2083.07,405798,1518491
2022-05-16,Social,932.36,220541,568559
2022-05-16,Search,518.62,98385,220562
2022-05-17,TV,3275.16,250005,532335
2022-05-17,Digital,1661.02,351632,1208338
2022-05-17,Social,720.33,196166,458094
2022-05-17,Search,514.25,98294,217924
2022-05-18,TV,3295.80,261249,461053
2022-05-18,Digital,1588.00,296219,1345878
2022-05-18,Social,788.15,179639,502619
2022-05-18,Search,696.77,130992,301911
2022-05-19,TV,3163.91,251217,500801
2022-05-19,Digital,2109.65,388310,1828596
2022-05-19,Social,734.98,177170,419859
2022-05-19,Search,440.55,73048,186322
2022-05-20,TV,2444.98,212249,333742
2022-05-20,Digital,1325.85,257732,1069511
2022-05-20,Social,576.66,134191,358289
2022-05-20,Search,495.22,91438,191730
2022-05-21,TV,2547.27,189743,389640
2022-05-21,Digital,1178.91,250054,959147
2022-05-21,Social,617.73,162408,354458
2022-05-21,Search,353.03,60428,141413
2022-05-22,TV,2395.72,191100,368500
2022-05-22,Digital,781.84,154846,659171
2022-05-22,Social,710.50,164479,390997
2022-05-22,Search,427.28,69944,171967
2022-05-23,TV,3360.48,279424,552717
2022-05-23,Digital,1596.09,322588,1355358
2022-05-23,Social,857.37,232188,563391
2022-05-23,Search,511.26,84184,219024
2022-05-24,TV,3585.43,297939,569860
2022-05-24,Digital,1400.21,304267,1142182
2022-05-24,Social,756.33,193597,431270
2022-05-24,Search,622.88,108865,254043
2022-05-25,TV,3127.52,230655,431787
2022-05-25,Digital,1097.96,205340,949569
2022-05-25,Social,1061.21,252025,644056
2022-05-25,Search,492.13,82945,178010
2022-05-26,TV,3395.40,250607,476322
2022-05-26,Digital,1504.23,311623,1247932
2022-05-26,Social,841.90,205527,551419
2022-05-26,Search,702.57,136801,294520
2022-05-27,TV,3826.56,287481,628645
2022-05-27,Digital,1614.97,309713,1277198
2022-05-27,Social,880.41,220198,530205
2022-05-27,Search,528.60,95310,214826
2022-05-28,TV,2314.84,167439,324045
2022-05-28,Digital,1356.59,290862,1109982
2022-05-28,Social,571.18,138492,350388
2022-05-28,Search,460.36,89078,172706
2022-05-29,TV,2278.00,186756,369294
2022-05-29,Digital,1032.15,202188,847960
2022-05-29,Social,715.82,182452,413730
2022-05-29,Search,553.89,94379,207596
2022-05-30,TV,3708.64,314183,518469
2022-05-30,Digital,1482.68,288155,1103969
2022-05-30,Social,626.00,151781,344326
2022-05-30,Search,620.08,118523,229866
2022-05-31,TV,2868.68,249113,400259
2022-05-31,Digital,1353.15,259037,989711
2022-05-31,Social,1145.89,301862,648808
2022-05-31,Search,445.45,74594,171685
2022-06-01,TV,3098.91,243064,458875
2022-06-01,Digital,1175.80,233432,982065
2022-06-01,Social,888.64,236674,556934
2022-06-01,Search,575.65,107016,251163
2022-06-02,TV,3497.30,270563,499331
2022-06-02,Digital,1592.34,319382,1311143
2022-06-02,Social,765.00,179958,422922
2022-06-02,Search,500.03,92790,210425
2022-06-03,TV,3421.64,275616,549275
2022-06-03,Digital,1579.35,328781,1176816
2022-06-03,Social,839.24,224517,462692
2022-06-03,Search,481.98,92461,203668
2022-06-04,TV,2132.83,176179,344458
2022-06-04,Digital,1274.06,265577,1027062
2022-06-04,Social,703.10,177032,463322
2022-06-04,Search,336.04,58043,121201
2022-06-05,TV,2351.48,181598,356691
2022-06-05,Digital,1084.34,197717,834383
2022-06-05,Social,606.09,161729,327357
2022-06-05,Search,418.91,79846,156761
2022-06-06,TV,3988.36,318930,614799
2022-06-06,Digital,1310.53,261080,1118018
2022-06-06,Social,607.66,165884,374644
2022-06-06,Search,494.05,85046,212250
2022-06-07,TV,3063.07,226361,453519
2022-06-07,Digital,1136.68,210481,872277
2022-06-07,Social,889.72,231989,527013
2022-06-07,Search,606.80,101465,222093
2022-06-08,TV,3229.51,235829,463530
2022-06-08,Digital,1713.88,350436,1379851
2022-06-08,Social,835.43,218578,545131
2022-06-08,Search,475.50,92728,192798
2022-06-09,TV,3665.93,269228,589778
2022-06-09,Digital,1182.65,233999,1007690
2022-06-09,Social,678.52,185805,389011
2022-06-09,Search,570.02,106515,209608
2022-06-10,TV,3448.50,254410,522401
2022-06-10,Digital,1836.94,334838,1579824
2022-06-10,Social,796.33,206574,446078
2022-06-10,Search,519.05,84126,187083
2022-06-11,TV,2875.80,231869,404917
2022-06-11,Digital,1056.07,206821,907874
2022-06-11,Social,756.06,182460,424551
2022-06-11,Search,391.89,66931,157677
2022-06-12,TV,2391.84,208006,362589
2022-06-12,Digital,1444.63,269385,1136737
2022-06-12,Social,645.12,170257,407763
2022-06-12,Search,356.68,58583,141275
2022-06-13,TV,2592.31,220766,408777
2022-06-13,Digital,1483.74,322479,1271929
2022-06-13,Social,888.05,239307,573537
2022-06-13,Search,599.68,107977,258725
2022-06-14,TV,2628.98,197860,419155
2022-06-14,Digital,1113.39,218559,934711
2022-06-14,Social,644.81,173560,422750
2022-06-14,Search,508.10,99012,213401
2022-06-15,TV,3104.72,246135,442220
2022-06-15,Digital,1393.23,281552,1218272
2022-06-15,Social,1075.74,252254,666593
2022-06-15,Search,642.40,122363,241598
2022-06-16,TV,3169.20,233210,479237
2022-06-16,Digital,1848.44,370286,1617993
2022-06-16,Social,773.22,202474,485117
2022-06-16,Search,552.23,90719,219869
