sku_code,product_name,category,sub_category,portfolio,region,store_code,date,sales,units,price
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-09,2050.00,82,25.00
SKU_002,Premium Cashews 250g,Snacks,Nuts,Premium Snacks,North,STR_N_001,2024-01-10,2300.00,92,25.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-01,850.00,170,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-02,920.00,184,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-03,880.00,176,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-04,1050.00,210,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-05,1180.00,236,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-06,1250.00,250,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-07,1190.00,238,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-08,910.00,182,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-09,870.00,174,5.00
SKU_003,Greek Yogurt 500g,Dairy,Yogurt,Dairy Products,North,STR_N_001,2024-01-10,950.00,190,5.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-01,1560.00,260,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-02,1620.00,270,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-03,1480.00,247,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-04,1750.00,292,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-05,1920.00,320,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-06,2100.00,350,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-07,2050.00,342,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-08,1680.00,280,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-09,1590.00,265,6.00
SKU_004,Sparkling Water 6-Pack,Beverages,Water,Soft Drinks,South,STR_S_001,2024-01-10,1720.00,287,6.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-01,780.00,78,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-02,820.00,82,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-03,850.00,85,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-04,920.00,92,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-05,1050.00,105,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-06,1120.00,112,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-07,1080.00,108,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-08,890.00,89,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-09,840.00,84,10.00
SKU_005,Green Tea 100 Bags,Beverages,Tea,Hot Beverages,South,STR_S_001,2024-01-10,910.00,91,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-01,1890.00,189,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-02,1920.00,192,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-03,2050.00,205,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-04,2280.00,228,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-05,2520.00,252,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-06,2750.00,275,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-07,2680.00,268,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-08,2100.00,210,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-09,1980.00,198,10.00
SKU_006,Dark Chocolate 200g,Snacks,Chocolate,Confectionery,East,STR_E_001,2024-01-10,2150.00,215,10.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-01,2100.00,420,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-02,2250.00,450,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-03,2180.00,436,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-04,2450.00,490,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-05,2680.00,536,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-06,2850.00,570,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-07,2780.00,556,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-08,2300.00,460,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-09,2200.00,440,5.00
SKU_007,Whole Milk 1L,Dairy,Milk,Dairy Products,East,STR_E_001,2024-01-10,2380.00,476,5.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-01,3200.00,320,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-02,3350.00,335,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-03,3180.00,318,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-04,3650.00,365,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-05,3950.00,395,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-06,4200.00,420,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-07,4100.00,410,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-08,3450.00,345,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-09,3280.00,328,10.00
SKU_008,Orange Juice 2L,Beverages,Juice,Fresh Juice,West,STR_W_001,2024-01-10,3520.00,352,10.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-01,4500.00,150,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-02,4680.00,156,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-03,4520.00,151,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-04,5100.00,170,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-05,5550.00,185,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-06,5800.00,193,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-07,5680.00,189,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-08,4800.00,160,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-09,4620.00,154,30.00
SKU_009,Chicken Breast 500g,Meat,Poultry,Fresh Meat,West,STR_W_001,2024-01-10,4920.00,164,30.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-01,2800.00,56,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-02,2920.00,58,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-03,2750.00,55,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-04,3200.00,64,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-05,3500.00,70,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-06,3750.00,75,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-07,3680.00,74,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-08,3050.00,61,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-09,2880.00,58,50.00
SKU_010,Olive Oil 500ml,Pantry,Cooking Oil,Premium Pantry,Central,STR_C_001,2024-01-10,3120.00,62,50.00
